time,rainfall
2021-07-02 09:51:00,0.0
2021-07-02 09:52:00,3.333
2021-07-02 09:53:00,0.333
2021-07-02 09:54:00,0.333
2021-07-02 09:55:00,0.333
2021-07-02 09:56:00,0.333
2021-07-02 09:57:00,0.333
2021-07-02 09:58:00,0.333
2021-07-02 09:59:00,0.333
2021-07-02 10:00:00,0.333
2021-07-02 10:01:00,0.333
2021-07-02 10:02:00,0.333
2021-07-02 10:03:00,0.185
2021-07-02 10:04:00,0.185
2021-07-02 10:05:00,0.185
2021-07-02 10:06:00,0.185
2021-07-02 10:07:00,0.185
2021-07-02 10:08:00,0.185
2021-07-02 10:09:00,0.185
2021-07-02 10:10:00,0.185
2021-07-02 10:11:00,0.185
2021-07-02 10:12:00,0.185
2021-07-02 10:13:00,0.185
2021-07-02 10:14:00,0.185
2021-07-02 10:15:00,0.185
2021-07-02 10:16:00,0.185
2021-07-02 10:17:00,0.185
2021-07-02 10:18:00,0.185
2021-07-02 10:19:00,0.185
2021-07-02 10:20:00,0.185
2021-07-02 10:21:00,0.417
2021-07-02 10:22:00,0.417
2021-07-02 10:23:00,0.417
2021-07-02 10:24:00,0.417
2021-07-02 10:25:00,0.417
2021-07-02 10:26:00,0.417
2021-07-02 10:27:00,0.417
2021-07-02 10:28:00,0.417
2021-07-02 10:29:00,0.833
2021-07-02 10:30:00,0.833
2021-07-02 10:31:00,0.833
2021-07-02 10:32:00,0.833
2021-07-02 10:33:00,0.278
2021-07-02 10:34:00,0.278
2021-07-02 10:35:00,0.278
2021-07-02 10:36:00,0.278
2021-07-02 10:37:00,0.278
2021-07-02 10:38:00,0.278
2021-07-02 10:39:00,0.278
2021-07-02 10:40:00,0.278
2021-07-02 10:41:00,0.278
2021-07-02 10:42:00,0.278
2021-07-02 10:43:00,0.278
2021-07-02 10:44:00,0.278
2021-07-02 10:45:00,0.256
2021-07-02 10:46:00,0.256
2021-07-02 10:47:00,0.256
2021-07-02 10:48:00,0.256
2021-07-02 10:49:00,0.256
2021-07-02 10:50:00,0.256
2021-07-02 10:51:00,0.256
2021-07-02 10:52:00,0.256
2021-07-02 10:53:00,0.256
2021-07-02 10:54:00,0.256
2021-07-02 10:55:00,0.256
2021-07-02 10:56:00,0.256
2021-07-02 10:57:00,0.256
2021-07-03 02:30:00,0.0
2021-07-03 02:31:00,3.333
2021-07-03 02:32:00,0.185
2021-07-03 02:33:00,0.185
2021-07-03 02:34:00,0.185
2021-07-03 02:35:00,0.185
2021-07-03 02:36:00,0.185
2021-07-03 02:37:00,0.185
2021-07-03 02:38:00,0.185
2021-07-03 02:39:00,0.185
2021-07-03 02:40:00,0.185
2021-07-03 02:41:00,0.185
2021-07-03 02:42:00,0.185
2021-07-03 02:43:00,0.185
2021-07-03 02:44:00,0.185
2021-07-03 02:45:00,0.185
2021-07-03 02:46:00,0.185
2021-07-03 02:47:00,0.185
2021-07-03 02:48:00,0.185
2021-07-03 02:49:00,0.185
2021-07-03 02:50:00,0.476
2021-07-03 02:51:00,0.476
2021-07-03 02:52:00,0.476
2021-07-03 02:53:00,0.476
2021-07-03 02:54:00,0.476
2021-07-03 02:55:00,0.476
2021-07-03 02:56:00,0.476
2021-07-03 02:57:00,1.111
2021-07-03 02:58:00,1.111
2021-07-03 02:59:00,1.111
2021-07-03 03:00:00,0.556
2021-07-03 03:01:00,0.556
2021-07-03 03:02:00,0.556
2021-07-03 03:03:00,0.556
2021-07-03 03:04:00,0.556
2021-07-03 03:05:00,0.556
2021-07-03 03:06:00,0.476
2021-07-03 03:07:00,0.476
2021-07-03 03:08:00,0.476
2021-07-03 03:09:00,0.476
2021-07-03 03:10:00,0.476
2021-07-03 03:11:00,0.476
2021-07-03 03:12:00,0.476
2021-07-03 03:13:00,0.476
2021-07-03 03:14:00,0.476
2021-07-03 03:15:00,0.476
2021-07-03 03:16:00,0.476
2021-07-03 03:17:00,0.476
2021-07-03 03:18:00,0.476
2021-07-03 03:19:00,0.476
2021-07-03 03:20:00,0.667
2021-07-03 03:21:00,0.667
2021-07-03 03:22:00,0.667
2021-07-03 03:23:00,0.667
2021-07-03 03:24:00,0.667
2021-07-03 03:25:00,0.37
2021-07-03 03:26:00,0.37
2021-07-03 03:27:00,0.37
2021-07-03 03:28:00,0.37
2021-07-03 03:29:00,0.37
2021-07-03 03:30:00,0.37
2021-07-03 03:31:00,0.37
2021-07-03 03:32:00,0.37
2021-07-03 03:33:00,0.37
2021-07-03 03:34:00,0.37
2021-07-03 03:35:00,0.37
2021-07-03 03:36:00,0.37
2021-07-03 03:37:00,0.37
2021-07-03 03:38:00,0.37
2021-07-03 03:39:00,0.37
2021-07-03 03:40:00,0.37
2021-07-03 03:41:00,0.37
2021-07-03 03:42:00,0.37
2021-07-03 03:43:00,0.417
2021-07-03 03:44:00,0.417
2021-07-03 03:45:00,0.417
2021-07-03 03:46:00,0.417
2021-07-03 03:47:00,0.417
2021-07-03 03:48:00,0.417
2021-07-03 03:49:00,0.417
2021-07-03 03:50:00,0.417
2021-07-03 03:51:00,0.417
2021-07-03 03:52:00,0.417
2021-07-03 03:53:00,0.417
2021-07-03 03:54:00,0.417
2021-07-03 03:55:00,0.417
2021-07-03 03:56:00,0.417
2021-07-03 03:57:00,0.417
2021-07-03 03:58:00,0.417
2021-07-03 03:59:00,0.278
2021-07-03 04:00:00,0.278
2021-07-03 04:01:00,0.278
2021-07-03 04:02:00,0.278
2021-07-03 04:03:00,0.278
2021-07-03 04:04:00,0.278
2021-07-03 04:05:00,0.278
2021-07-03 04:06:00,0.278
2021-07-03 04:07:00,0.278
2021-07-03 04:08:00,0.278
2021-07-03 04:09:00,0.278
2021-07-03 04:10:00,0.278
2021-07-03 04:11:00,0.278
2021-07-03 04:12:00,0.278
2021-07-03 04:13:00,0.278
2021-07-03 04:14:00,0.278
2021-07-03 04:15:00,0.278
2021-07-03 04:16:00,0.278
2021-07-03 04:17:00,0.278
2021-07-03 04:18:00,0.278
2021-07-03 04:19:00,0.278
2021-07-03 04:20:00,0.278
2021-07-03 04:21:00,0.278
2021-07-03 04:22:00,0.278
2021-07-03 04:23:00,0.159
2021-07-03 04:24:00,0.159
2021-07-03 04:25:00,0.159
2021-07-03 04:26:00,0.159
2021-07-03 04:27:00,0.159
2021-07-03 04:28:00,0.159
2021-07-03 04:29:00,0.159
2021-07-03 04:30:00,0.159
2021-07-03 04:31:00,0.159
2021-07-03 04:32:00,0.159
2021-07-03 04:33:00,0.159
2021-07-03 04:34:00,0.159
2021-07-03 04:35:00,0.159
2021-07-03 04:36:00,0.159
2021-07-03 04:37:00,0.159
2021-07-03 04:38:00,0.159
2021-07-03 04:39:00,0.159
2021-07-03 04:40:00,0.159
2021-07-03 04:41:00,0.159
2021-07-03 04:42:00,0.159
2021-07-03 04:43:00,0.159
2021-07-03 04:44:00,0.278
2021-07-03 04:45:00,0.278
2021-07-03 04:46:00,0.278
2021-07-03 04:47:00,0.278
2021-07-03 04:48:00,0.278
2021-07-03 04:49:00,0.278
2021-07-03 04:50:00,0.278
2021-07-03 04:51:00,0.278
2021-07-03 04:52:00,0.278
2021-07-03 04:53:00,0.278
2021-07-03 04:54:00,0.278
2021-07-03 04:55:00,0.278
2021-07-03 04:56:00,0.119
2021-07-03 04:57:00,0.119
2021-07-03 04:58:00,0.119
2021-07-03 04:59:00,0.119
2021-07-03 05:00:00,0.119
2021-07-03 05:01:00,0.119
2021-07-03 05:02:00,0.119
2021-07-03 05:03:00,0.119
2021-07-03 05:04:00,0.119
2021-07-03 05:05:00,0.119
2021-07-03 05:06:00,0.119
2021-07-03 05:07:00,0.119
2021-07-03 05:08:00,0.119
2021-07-03 05:09:00,0.119
2021-07-03 05:10:00,0.119
2021-07-03 05:11:00,0.119
2021-07-03 05:12:00,0.119
