time,116l1_observed,12l1_observed
1994-08-07 16:35:00,0.0,0.0
1994-08-07 16:36:00,7.2616854e-06,-3.9070756e-06
1994-08-07 16:37:00,2.0518608e-05,-8.812551e-06
1994-08-07 16:38:00,3.231614e-05,-6.9456464e-06
1994-08-07 16:39:00,4.3801272e-05,-3.5614814e-06
1994-08-07 16:40:00,5.4363485e-05,7.131172e-06
1994-08-07 16:41:00,6.596654e-05,1.9600311e-05
1994-08-07 16:42:00,7.903005e-05,3.2130494e-05
1994-08-07 16:43:00,9.3155504e-05,4.369883e-05
1994-08-07 16:44:00,0.00010752947,5.4000622e-05
1994-08-07 16:45:00,0.00012134801,6.313026e-05
1994-08-07 16:46:00,0.00013406381,7.131897e-05
1994-08-07 16:47:00,0.00014564439,7.903823e-05
1994-08-07 16:48:00,0.00015884744,8.933233e-05
1994-08-07 16:49:00,0.00017990626,0.00010411245
1994-08-07 16:50:00,0.00023377153,0.00014874616
1994-08-07 16:51:00,0.00036585948,0.00024314987
1994-08-07 16:52:00,0.0006005194,0.00034841165
1994-08-07 16:53:00,0.0009260481,0.0004547403
1994-08-07 16:54:00,0.001292599,0.0005681482
1994-08-07 16:55:00,0.0016118002,0.0007503359
1994-08-07 16:56:00,0.0019035311,0.0009724264
1994-08-07 16:57:00,0.002171903,0.0012956664
1994-08-07 16:58:00,0.0024229556,0.0016894034
1994-08-07 16:59:00,0.0026810782,0.0022531427
1994-08-07 17:00:00,0.0029398783,0.0026505112
1994-08-07 17:01:00,0.003201337,0.003050637
1994-08-07 17:02:00,0.0034530496,0.003256645
1994-08-07 17:03:00,0.0037002857,0.0034961451
1994-08-07 17:04:00,0.003931818,0.0035886408
1994-08-07 17:05:00,0.0041399673,0.003612977
1994-08-07 17:06:00,0.0043467213,0.0038023111
1994-08-07 17:07:00,0.004548941,0.0038827576
1994-08-07 17:08:00,0.004736522,0.003877001
1994-08-07 17:09:00,0.0049116546,0.0038900783
1994-08-07 17:10:00,0.0050881994,0.0039580627
1994-08-07 17:11:00,0.0052852063,0.004066394
1994-08-07 17:12:00,0.0055195144,0.004186233
1994-08-07 17:13:00,0.0058033755,0.004296887
1994-08-07 17:14:00,0.006141007,0.0043896455
1994-08-07 17:15:00,0.006528834,0.004457604
1994-08-07 17:16:00,0.00695612,0.004493802
1994-08-07 17:17:00,0.0074075297,0.0044970675
1994-08-07 17:18:00,0.0078667775,0.004469075
1994-08-07 17:19:00,0.008319562,0.0044147614
1994-08-07 17:20:00,0.008877638,0.004432505
1994-08-07 17:21:00,0.0096709095,0.004802901
1994-08-07 17:22:00,0.011844486,0.005947772
1994-08-07 17:23:00,0.019319879,0.0076925764
1994-08-07 17:24:00,0.038061373,0.013995324
1994-08-07 17:25:00,0.06595788,0.041150257
1994-08-07 17:26:00,0.10274131,0.080547854
1994-08-07 17:27:00,0.15936601,0.111091055
1994-08-07 17:28:00,0.28224343,0.14327845
1994-08-07 17:29:00,0.4687764,0.18900368
1994-08-07 17:30:00,0.68267334,0.26241112
1994-08-07 17:31:00,0.92442036,0.3648386
1994-08-07 17:32:00,1.1285049,0.4328974
1994-08-07 17:33:00,1.263687,0.45972088
1994-08-07 17:34:00,1.3877498,0.5567531
1994-08-07 17:35:00,1.5226909,0.69511855
1994-08-07 17:36:00,1.6090943,0.76781464
1994-08-07 17:37:00,1.6308812,0.7940801
1994-08-07 17:38:00,1.6258407,0.8092102
1994-08-07 17:39:00,1.6063519,0.8179166
1994-08-07 17:40:00,1.5744,0.8127227
1994-08-07 17:41:00,1.5314616,0.7936802
1994-08-07 17:42:00,1.4816165,0.76829976
1994-08-07 17:43:00,1.4283205,0.7385628
1994-08-07 17:44:00,1.3734411,0.70887107
1994-08-07 17:45:00,1.3188679,0.6831611
1994-08-07 17:46:00,1.2669635,0.6605788
1994-08-07 17:47:00,1.2177297,0.6372304
1994-08-07 17:48:00,1.1662946,0.611224
1994-08-07 17:49:00,1.11289,0.5868333
1994-08-07 17:50:00,1.0625201,0.5640455
1994-08-07 17:51:00,1.0175407,0.5431414
1994-08-07 17:52:00,0.97033334,0.5225017
1994-08-07 17:53:00,0.92723894,0.5025905
1994-08-07 17:54:00,0.8847565,0.48330712
1994-08-07 17:55:00,0.837254,0.45564273
1994-08-07 17:56:00,0.77764785,0.40501428
1994-08-07 17:57:00,0.69383454,0.32713884
1994-08-07 17:58:00,0.62137085,0.2728975
1994-08-07 17:59:00,0.56475,0.24018826
1994-08-07 18:00:00,0.51718104,0.21920262
1994-08-07 18:01:00,0.48510456,0.2099563
1994-08-07 18:02:00,0.45807618,0.19787522
1994-08-07 18:03:00,0.42930314,0.18334104
1994-08-07 18:04:00,0.4001513,0.16827428
1994-08-07 18:05:00,0.37425038,0.15658139
1994-08-07 18:06:00,0.351898,0.1470095
1994-08-07 18:07:00,0.33222154,0.13882184
1994-08-07 18:08:00,0.31410256,0.13139261
1994-08-07 18:09:00,0.29754356,0.12455013
1994-08-07 18:10:00,0.28233227,0.11829719
1994-08-07 18:11:00,0.26996803,0.11389299
1994-08-07 18:12:00,0.2578234,0.10930563
1994-08-07 18:13:00,0.24555466,0.10375532
1994-08-07 18:14:00,0.23390864,0.0987391
1994-08-07 18:15:00,0.22262904,0.09396465
1994-08-07 18:16:00,0.2121795,0.089221425
1994-08-07 18:17:00,0.20281151,0.08597468
1994-08-07 18:18:00,0.19291374,0.08123376
1994-08-07 18:19:00,0.18278013,0.075886555
1994-08-07 18:20:00,0.17288786,0.07102759
1994-08-07 18:21:00,0.16392086,0.06706446
1994-08-07 18:22:00,0.15592508,0.06371685
1994-08-07 18:23:00,0.14869966,0.060703393
1994-08-07 18:24:00,0.14204594,0.05792017
1994-08-07 18:25:00,0.13615759,0.055483624
1994-08-07 18:26:00,0.13053325,0.053317815
1994-08-07 18:27:00,0.12515257,0.051195193
1994-08-07 18:28:00,0.119987994,0.049012017
1994-08-07 18:29:00,0.11501789,0.046835
1994-08-07 18:30:00,0.11026774,0.04477495
1994-08-07 18:31:00,0.10576267,0.042863946
1994-08-07 18:32:00,0.101500556,0.04108167
1994-08-07 18:33:00,0.09738022,0.03946699
1994-08-07 18:34:00,0.09355118,0.037975535
1994-08-07 18:35:00,0.08976418,0.036499415
